Programme,Country,Region,Year,Quarter,Period,Budget_USD,Expenditure_USD,Budget_Utilization_Pct,Target_Output,Actual_Output,Output_Achievement_Pct,Outcome_Score_1to5,Community_Feedback_Score,Complaints_Received,Complaints_Resolved
Climate Resilience,Ghana,West Africa,2024,Q3,2024-Q3,313089,261466,83.5,21314,17485,82.0,2.5,3.1,17,15
Climate Resilience,Ghana,West Africa,2024,Q4,2024-Q4,119497,96094,80.4,39139,40120,102.5,4.9,4.4,5,17
Climate Resilience,Ghana,West Africa,2025,Q1,2025-Q1,202276,127103,62.8,23212,21740,93.7,4.6,4.2,23,14
Climate Resilience,Ghana,West Africa,2025,Q2,2025-Q2,164349,140973,85.8,41235,30961,75.1,2.6,4.7,17,5
Climate Resilience,Ghana,West Africa,2025,Q3,2025-Q3,56111,51358,91.5,36808,36136,98.2,3.0,3.1,4,14
Climate Resilience,Ghana,West Africa,2025,Q4,2025-Q4,175017,119091,68.0,19258,13439,69.8,2.9,3.7,17,11
Climate Resilience,Senegal,West Africa,2021,Q1,2021-Q1,258068,198036,76.7,2047,740,36.2,3.2,3.1,24,20
Climate Resilience,Senegal,West Africa,2021,Q2,2021-Q2,285267,240206,84.2,26840,27626,102.9,3.5,3.6,23,5
Climate Resilience,Senegal,West Africa,2021,Q3,2021-Q3,482910,457207,94.7,3226,3040,94.2,3.7,3.3,19,11
Climate Resilience,Senegal,West Africa,2021,Q4,2021-Q4,426856,374988,87.8,42645,38967,91.4,3.0,3.9,7,10
Climate Resilience,Senegal,West Africa,2022,Q1,2022-Q1,398013,249156,62.6,6151,5099,82.9,4.8,4.7,21,17
Climate Resilience,Senegal,West Africa,2022,Q2,2022-Q2,449417,353166,78.6,27394,23784,86.8,4.4,4.2,6,16
Climate Resilience,Senegal,West Africa,2022,Q3,2022-Q3,378206,348414,92.1,34607,36778,106.3,3.7,4.9,24,17
Climate Resilience,Senegal,West Africa,2022,Q4,2022-Q4,100809,80097,79.5,42176,33708,79.9,3.7,4.6,9,10
Climate Resilience,Senegal,West Africa,2023,Q1,2023-Q1,234855,218093,92.9,44002,28854,65.6,3.7,4.9,10,3
Climate Resilience,Senegal,West Africa,2023,Q2,2023-Q2,70466,63503,90.1,36288,32044,88.3,4.5,3.1,21,2
Climate Resilience,Senegal,West Africa,2023,Q3,2023-Q3,42951,33808,78.7,10504,10571,100.6,2.6,4.7,5,1
Climate Resilience,Senegal,West Africa,2023,Q4,2023-Q4,125947,103195,81.9,9015,8289,91.9,3.0,3.6,15,6
Climate Resilience,Senegal,West Africa,2024,Q1,2024-Q1,71775,51159,71.3,4085,3072,75.2,2.9,4.6,18,20
Climate Resilience,Senegal,West Africa,2024,Q2,2024-Q2,458461,299394,65.3,27467,23531,85.7,3.1,3.9,21,15
Climate Resilience,Senegal,West Africa,2024,Q3,2024-Q3,295681,238569,80.7,42892,34472,80.4,4.5,4.2,22,18
Climate Resilience,Senegal,West Africa,2024,Q4,2024-Q4,154185,99486,64.5,5216,5642,108.2,2.9,3.9,11,7
Climate Resilience,Senegal,West Africa,2025,Q1,2025-Q1,337694,256227,75.9,49044,45469,92.7,3.5,3.3,2,0
Climate Resilience,Senegal,West Africa,2025,Q2,2025-Q2,129438,89407,69.1,44975,48689,108.3,3.9,3.8,15,2
Climate Resilience,Senegal,West Africa,2025,Q3,2025-Q3,265397,213902,80.6,43872,40530,92.4,4.6,3.5,1,11
Climate Resilience,Senegal,West Africa,2025,Q4,2025-Q4,312563,248989,79.7,29259,20502,70.1,4.9,3.7,11,1
Climate Resilience,Ivory Coast,West Africa,2021,Q1,2021-Q1,451826,378638,83.8,42431,37367,88.1,2.7,4.9,8,16
Climate Resilience,Ivory Coast,West Africa,2021,Q2,2021-Q2,41313,36614,88.6,6612,4836,73.1,4.5,4.4,9,2
Climate Resilience,Ivory Coast,West Africa,2021,Q3,2021-Q3,133193,111334,83.6,36044,36727,101.9,4.9,4.0,3,3
Climate Resilience,Ivory Coast,West Africa,2021,Q4,2021-Q4,400198,389238,97.3,17139,14163,82.6,4.0,4.1,17,12
Climate Resilience,Ivory Coast,West Africa,2022,Q1,2022-Q1,119331,93292,78.2,14656,12591,85.9,3.4,3.9,16,7
Climate Resilience,Ivory Coast,West Africa,2022,Q2,2022-Q2,318858,316389,99.2,42981,26073,60.7,3.4,3.9,5,17
Climate Resilience,Ivory Coast,West Africa,2022,Q3,2022-Q3,412793,269721,65.3,38578,41556,107.7,2.9,4.1,13,3
Climate Resilience,Ivory Coast,West Africa,2022,Q4,2022-Q4,421753,295841,70.1,43852,39975,91.2,3.1,3.0,18,11
Climate Resilience,Ivory Coast,West Africa,2023,Q1,2023-Q1,373628,243656,65.2,32062,23856,74.4,5.0,3.6,22,13
Climate Resilience,Ivory Coast,West Africa,2023,Q2,2023-Q2,482854,314883,65.2,8822,7033,79.7,3.0,4.2,5,5
Climate Resilience,Ivory Coast,West Africa,2023,Q3,2023-Q3,308340,192902,62.6,28316,22733,80.3,2.6,4.3,16,10
Climate Resilience,Ivory Coast,West Africa,2023,Q4,2023-Q4,364736,279231,76.6,12366,7551,61.1,3.2,3.4,17,19
Climate Resilience,Ivory Coast,West Africa,2024,Q1,2024-Q1,252265,217353,86.2,25089,16650,66.4,4.2,4.1,10,17
Climate Resilience,Ivory Coast,West Africa,2024,Q2,2024-Q2,190212,179459,94.3,26361,21122,80.1,2.8,4.6,13,20
Climate Resilience,Ivory Coast,West Africa,2024,Q3,2024-Q3,245752,213658,86.9,49570,44712,90.2,3.6,4.9,10,19
Climate Resilience,Ivory Coast,West Africa,2024,Q4,2024-Q4,146207,96006,65.7,38906,29071,74.7,4.1,3.8,17,6
Climate Resilience,Ivory Coast,West Africa,2025,Q1,2025-Q1,216641,212898,98.3,38060,33671,88.5,4.8,3.5,23,8
Climate Resilience,Ivory Coast,West Africa,2025,Q2,2025-Q2,208748,192343,92.1,31648,26496,83.7,5.0,3.5,14,12
Climate Resilience,Ivory Coast,West Africa,2025,Q3,2025-Q3,20102,15573,77.5,49599,28217,56.9,2.5,3.4,1,9
Climate Resilience,Ivory Coast,West Africa,2025,Q4,2025-Q4,332351,236891,71.3,3068,2692,87.7,3.6,3.3,16,4
Climate Resilience,Mali,West Africa,2021,Q1,2021-Q1,486786,462106,94.9,21781,16881,77.5,4.1,4.3,0,9
Climate Resilience,Mali,West Africa,2021,Q2,2021-Q2,136332,133944,98.2,16078,14261,88.7,2.5,3.5,10,0
Climate Resilience,Mali,West Africa,2021,Q3,2021-Q3,424500,412238,97.1,47201,41237,87.4,4.4,3.2,8,17
Climate Resilience,Mali,West Africa,2021,Q4,2021-Q4,288053,232041,80.6,38459,34472,89.6,3.1,3.4,18,18
Climate Resilience,Mali,West Africa,2022,Q1,2022-Q1,101115,93442,92.4,8179,6835,83.6,4.8,3.4,1,14
Climate Resilience,Mali,West Africa,2022,Q2,2022-Q2,206466,204648,99.1,12230,8356,68.3,5.0,4.1,4,8
Climate Resilience,Mali,West Africa,2022,Q3,2022-Q3,212457,141933,66.8,40152,29735,74.1,3.3,3.6,7,7
Climate Resilience,Mali,West Africa,2022,Q4,2022-Q4,154345,152630,98.9,21680,12649,58.3,2.9,4.5,2,18
Climate Resilience,Mali,West Africa,2023,Q1,2023-Q1,229609,137803,60.0,39294,37965,96.6,3.2,3.4,6,2
Climate Resilience,Mali,West Africa,2023,Q2,2023-Q2,399364,343721,86.1,23279,20412,87.7,4.3,4.4,25,15
Climate Resilience,Mali,West Africa,2023,Q3,2023-Q3,110650,80522,72.8,33999,28487,83.8,4.6,3.9,22,18
Climate Resilience,Mali,West Africa,2023,Q4,2023-Q4,449662,346129,77.0,8249,8001,97.0,2.9,3.9,19,20
Climate Resilience,Mali,West Africa,2024,Q1,2024-Q1,177492,144650,81.5,4449,3750,84.3,4.5,4.4,23,18
Climate Resilience,Mali,West Africa,2024,Q2,2024-Q2,220040,187927,85.4,7143,5649,79.1,4.8,3.0,24,1
Climate Resilience,Mali,West Africa,2024,Q3,2024-Q3,424174,349018,82.3,23914,21080,88.1,3.3,3.3,11,13
Climate Resilience,Mali,West Africa,2024,Q4,2024-Q4,238377,227656,95.5,9899,10581,106.9,3.7,4.8,24,7
Climate Resilience,Mali,West Africa,2025,Q1,2025-Q1,411998,343746,83.4,44780,45009,100.5,4.1,3.8,19,0
Climate Resilience,Mali,West Africa,2025,Q2,2025-Q2,352339,283792,80.5,43431,40773,93.9,4.5,3.7,12,1
Climate Resilience,Mali,West Africa,2025,Q3,2025-Q3,179794,135789,75.5,36365,32297,88.8,3.5,3.8,1,10
Climate Resilience,Mali,West Africa,2025,Q4,2025-Q4,303078,264229,87.2,39022,29061,74.5,2.7,4.2,4,10
Climate Resilience,DRC,Central Africa,2021,Q1,2021-Q1,283403,257560,90.9,47728,37838,79.3,4.7,4.3,7,4
Climate Resilience,DRC,Central Africa,2021,Q2,2021-Q2,46486,44289,95.3,46147,41854,90.7,3.7,4.1,23,12
Climate Resilience,DRC,Central Africa,2021,Q3,2021-Q3,253631,245417,96.8,41002,34118,83.2,3.2,3.8,18,16
Climate Resilience,DRC,Central Africa,2021,Q4,2021-Q4,67229,50765,75.5,16554,16354,98.8,3.2,3.5,13,9
Climate Resilience,DRC,Central Africa,2022,Q1,2022-Q1,432283,408258,94.4,27842,24519,88.1,2.9,3.7,4,4
Climate Resilience,DRC,Central Africa,2022,Q2,2022-Q2,196248,122579,62.5,7409,5747,77.6,3.2,4.5,15,18
Climate Resilience,DRC,Central Africa,2022,Q3,2022-Q3,410759,391866,95.4,5231,4291,82.0,3.7,4.7,17,12
Climate Resilience,DRC,Central Africa,2022,Q4,2022-Q4,157655,142696,90.5,7575,4727,62.4,3.8,4.3,12,16
Climate Resilience,DRC,Central Africa,2023,Q1,2023-Q1,247798,232667,93.9,47735,40558,85.0,4.8,4.5,4,4
Climate Resilience,DRC,Central Africa,2023,Q2,2023-Q2,272141,222376,81.7,38654,32788,84.8,3.8,3.7,6,15
Climate Resilience,DRC,Central Africa,2023,Q3,2023-Q3,227260,183673,80.8,44745,31645,70.7,4.3,4.7,18,6
Climate Resilience,DRC,Central Africa,2023,Q4,2023-Q4,314213,207969,66.2,42369,47526,112.2,3.6,3.8,23,16
Climate Resilience,DRC,Central Africa,2024,Q1,2024-Q1,149103,130463,87.5,17880,17154,95.9,4.7,3.8,2,8
Climate Resilience,DRC,Central Africa,2024,Q2,2024-Q2,427252,412044,96.4,30184,19767,65.5,5.0,3.2,10,18
Climate Resilience,DRC,Central Africa,2024,Q3,2024-Q3,66973,46427,69.3,9374,7982,85.2,4.6,3.0,21,13
Climate Resilience,DRC,Central Africa,2024,Q4,2024-Q4,242057,203762,84.2,25938,16849,65.0,3.2,4.7,11,6
Climate Resilience,DRC,Central Africa,2025,Q1,2025-Q1,188159,134229,71.3,24578,25013,101.8,3.1,3.1,19,20
Climate Resilience,DRC,Central Africa,2025,Q2,2025-Q2,32691,24966,76.4,21976,22630,103.0,3.2,4.6,5,11
Climate Resilience,DRC,Central Africa,2025,Q3,2025-Q3,343077,315680,92.0,30980,36786,118.7,4.0,4.7,19,4
Climate Resilience,DRC,Central Africa,2025,Q4,2025-Q4,250929,193215,77.0,4941,3527,71.4,3.2,3.5,7,6
Climate Resilience,Cameroon,Central Africa,2021,Q1,2021-Q1,379325,308951,81.4,26498,14280,53.9,2.7,4.4,4,2
Climate Resilience,Cameroon,Central Africa,2021,Q2,2021-Q2,78915,54095,68.5,5574,3265,58.6,3.0,3.8,7,19
Climate Resilience,Cameroon,Central Africa,2021,Q3,2021-Q3,97425,67331,69.1,20853,12030,57.7,3.6,4.1,0,10
Climate Resilience,Cameroon,Central Africa,2021,Q4,2021-Q4,383748,261491,68.1,9292,9553,102.8,2.9,4.8,9,14
Climate Resilience,Cameroon,Central Africa,2022,Q1,2022-Q1,267039,206551,77.3,3490,2722,78.0,3.7,4.1,10,6
Climate Resilience,Cameroon,Central Africa,2022,Q2,2022-Q2,407979,335985,82.4,37258,31176,83.7,4.3,3.4,6,6
Climate Resilience,Cameroon,Central Africa,2022,Q3,2022-Q3,306483,214810,70.1,36292,30808,84.9,3.0,3.1,24,8
Climate Resilience,Cameroon,Central Africa,2022,Q4,2022-Q4,307729,224704,73.0,33655,22920,68.1,2.9,4.4,19,4
Climate Resilience,Cameroon,Central Africa,2023,Q1,2023-Q1,384417,312719,81.3,47793,37147,77.7,4.0,3.7,21,0
Climate Resilience,Cameroon,Central Africa,2023,Q2,2023-Q2,217450,181395,83.4,40207,36959,91.9,3.3,3.2,21,16
Climate Resilience,Cameroon,Central Africa,2023,Q3,2023-Q3,42797,29494,68.9,18741,15085,80.5,4.1,3.5,5,1
Climate Resilience,Cameroon,Central Africa,2023,Q4,2023-Q4,168904,102157,60.5,15152,9921,65.5,3.8,4.2,25,19
Climate Resilience,Cameroon,Central Africa,2024,Q1,2024-Q1,162229,159819,98.5,5478,4004,73.1,3.9,4.9,14,20
Climate Resilience,Cameroon,Central Africa,2024,Q2,2024-Q2,24369,22696,93.1,6364,7758,121.9,3.3,3.5,12,8
Climate Resilience,Cameroon,Central Africa,2024,Q3,2024-Q3,367593,259172,70.5,45260,49966,110.4,3.8,3.1,11,3
Climate Resilience,Cameroon,Central Africa,2024,Q4,2024-Q4,30002,26684,88.9,21168,18090,85.5,4.5,3.6,20,12
Climate Resilience,Cameroon,Central Africa,2025,Q1,2025-Q1,141198,122228,86.6,26949,26743,99.2,4.6,4.1,16,3
Climate Resilience,Cameroon,Central Africa,2025,Q2,2025-Q2,493889,432944,87.7,22673,18663,82.3,4.7,4.0,15,19
Climate Resilience,Cameroon,Central Africa,2025,Q3,2025-Q3,298690,216639,72.5,7768,5688,73.2,3.5,4.7,5,6
Climate Resilience,Cameroon,Central Africa,2025,Q4,2025-Q4,282485,251346,89.0,32014,30626,95.7,3.5,3.4,17,0
Climate Resilience,Chad,Central Africa,2021,Q1,2021-Q1,40841,30319,74.2,18213,13206,72.5,4.4,3.5,16,9
Climate Resilience,Chad,Central Africa,2021,Q2,2021-Q2,194886,152335,78.2,34108,26152,76.7,3.5,5.0,12,5
Climate Resilience,Chad,Central Africa,2021,Q3,2021-Q3,29632,22414,75.6,24726,27291,110.4,3.5,3.9,21,11
Climate Resilience,Chad,Central Africa,2021,Q4,2021-Q4,206320,128242,62.2,42975,46489,108.2,3.8,4.0,9,7
Climate Resilience,Chad,Central Africa,2022,Q1,2022-Q1,282800,186597,66.0,20079,17761,88.5,3.0,3.5,25,1
Climate Resilience,Chad,Central Africa,2022,Q2,2022-Q2,348095,233024,66.9,18887,13677,72.4,4.9,4.7,12,0
Climate Resilience,Chad,Central Africa,2022,Q3,2022-Q3,310948,215237,69.2,20362,14015,68.8,3.7,3.0,7,4
Climate Resilience,Chad,Central Africa,2022,Q4,2022-Q4,199194,173009,86.9,27745,20916,75.4,3.8,4.8,21,4
Climate Resilience,Chad,Central Africa,2023,Q1,2023-Q1,66029,43959,66.6,49834,46635,93.6,2.8,3.8,12,16
Climate Resilience,Chad,Central Africa,2023,Q2,2023-Q2,375464,250832,66.8,42137,39583,93.9,3.1,3.5,20,7
Climate Resilience,Chad,Central Africa,2023,Q3,2023-Q3,238802,196413,82.2,17752,16666,93.9,2.8,4.9,18,4
Climate Resilience,Chad,Central Africa,2023,Q4,2023-Q4,243590,168626,69.2,22472,18706,83.2,4.4,3.7,19,10
Climate Resilience,Chad,Central Africa,2024,Q1,2024-Q1,255494,167918,65.7,37535,29480,78.5,4.1,4.1,4,6
Climate Resilience,Chad,Central Africa,2024,Q2,2024-Q2,362083,285575,78.9,11081,10759,97.1,3.7,4.5,18,17
Climate Resilience,Chad,Central Africa,2024,Q3,2024-Q3,378638,240476,63.5,15258,14604,95.7,2.6,3.3,4,9
Climate Resilience,Chad,Central Africa,2024,Q4,2024-Q4,380989,337804,88.7,48211,43174,89.6,3.6,3.8,16,4
Climate Resilience,Chad,Central Africa,2025,Q1,2025-Q1,245477,160735,65.5,11512,7920,68.8,3.7,4.5,20,18
Climate Resilience,Chad,Central Africa,2025,Q2,2025-Q2,102862,72343,70.3,22807,19452,85.3,3.7,5.0,2,17
Climate Resilience,Chad,Central Africa,2025,Q3,2025-Q3,299425,261895,87.5,49149,39660,80.7,4.4,3.1,3,5
Climate Resilience,Chad,Central Africa,2025,Q4,2025-Q4,186512,121076,64.9,11536,11796,102.3,3.0,3.8,23,0
Climate Resilience,South Africa,Southern Africa,2021,Q1,2021-Q1,421308,395312,93.8,22885,23887,104.4,4.3,4.2,13,13
Climate Resilience,South Africa,Southern Africa,2021,Q2,2021-Q2,179041,133008,74.3,31032,20397,65.7,3.9,3.7,23,20
Climate Resilience,South Africa,Southern Africa,2021,Q3,2021-Q3,407102,257919,63.4,19943,19972,100.1,3.3,3.8,4,6
Climate Resilience,South Africa,Southern Africa,2021,Q4,2021-Q4,75978,53552,70.5,10620,6905,65.0,3.4,3.8,5,0
Climate Resilience,South Africa,Southern Africa,2022,Q1,2022-Q1,419742,372800,88.8,42106,40153,95.4,2.6,4.0,19,8
Climate Resilience,South Africa,Southern Africa,2022,Q2,2022-Q2,337511,281379,83.4,39161,33392,85.3,4.8,3.1,19,7
Climate Resilience,South Africa,Southern Africa,2022,Q3,2022-Q3,332664,275911,82.9,17216,13523,78.5,4.7,3.0,7,0
Climate Resilience,South Africa,Southern Africa,2022,Q4,2022-Q4,208356,186058,89.3,7208,6763,93.8,4.8,4.3,22,15
Climate Resilience,South Africa,Southern Africa,2023,Q1,2023-Q1,90300,70037,77.6,34920,27169,77.8,4.2,4.0,19,15
Climate Resilience,South Africa,Southern Africa,2023,Q2,2023-Q2,393303,255543,65.0,44570,37682,84.5,3.0,3.1,11,5
Climate Resilience,South Africa,Southern Africa,2023,Q3,2023-Q3,466761,387279,83.0,27392,23741,86.7,4.5,4.7,15,15
Climate Resilience,South Africa,Southern Africa,2023,Q4,2023-Q4,92096,77936,84.6,12733,15352,120.6,2.5,4.4,6,7
Climate Resilience,South Africa,Southern Africa,2024,Q1,2024-Q1,36897,28307,76.7,28777,32830,114.1,3.4,4.8,24,0
Climate Resilience,South Africa,Southern Africa,2024,Q2,2024-Q2,161483,105543,65.4,29069,28426,97.8,4.2,3.0,7,6
Climate Resilience,South Africa,Southern Africa,2024,Q3,2024-Q3,417293,404715,97.0,15406,10492,68.1,3.0,4.2,2,5
Climate Resilience,South Africa,Southern Africa,2024,Q4,2024-Q4,250311,194533,77.7,42439,26604,62.7,2.6,3.6,15,10
Climate Resilience,South Africa,Southern Africa,2025,Q1,2025-Q1,474439,438463,92.4,31985,32528,101.7,4.2,3.6,7,13
Climate Resilience,South Africa,Southern Africa,2025,Q2,2025-Q2,232266,148619,64.0,4741,4697,99.1,3.2,4.7,19,12
Climate Resilience,South Africa,Southern Africa,2025,Q3,2025-Q3,397592,394486,99.2,22506,18187,80.8,2.9,3.6,12,19
Climate Resilience,South Africa,Southern Africa,2025,Q4,2025-Q4,409266,340277,83.1,39482,33538,84.9,2.7,4.9,19,17
Climate Resilience,Mozambique,Southern Africa,2021,Q1,2021-Q1,295372,220357,74.6,44034,37774,85.8,4.4,4.2,22,1
Climate Resilience,Mozambique,Southern Africa,2021,Q2,2021-Q2,292970,249233,85.1,9164,7895,86.2,4.1,4.3,14,14
Climate Resilience,Mozambique,Southern Africa,2021,Q3,2021-Q3,453591,372621,82.1,4779,4376,91.6,3.0,3.2,7,16
Climate Resilience,Mozambique,Southern Africa,2021,Q4,2021-Q4,301998,239532,79.3,27926,25100,89.9,3.8,4.7,23,1
Climate Resilience,Mozambique,Southern Africa,2022,Q1,2022-Q1,312395,242891,77.8,27388,27306,99.7,2.6,4.2,16,20
Climate Resilience,Mozambique,Southern Africa,2022,Q2,2022-Q2,45845,42691,93.1,14442,17833,123.5,2.9,4.2,9,14
Climate Resilience,Mozambique,Southern Africa,2022,Q3,2022-Q3,228687,191512,83.7,21959,18480,84.2,3.1,3.3,24,9
Climate Resilience,Mozambique,Southern Africa,2022,Q4,2022-Q4,261878,227058,86.7,12910,11463,88.8,4.0,4.3,13,9
Climate Resilience,Mozambique,Southern Africa,2023,Q1,2023-Q1,341458,216894,63.5,5574,4534,81.3,3.3,3.9,22,16
Climate Resilience,Mozambique,Southern Africa,2023,Q2,2023-Q2,493786,373315,75.6,11321,11089,98.0,4.7,4.9,14,20
Climate Resilience,Mozambique,Southern Africa,2023,Q3,2023-Q3,256819,185264,72.1,7927,7157,90.3,4.8,3.5,23,16
Climate Resilience,Mozambique,Southern Africa,2023,Q4,2023-Q4,79334,65909,83.1,13781,12656,91.8,3.2,4.6,24,18
Climate Resilience,Mozambique,Southern Africa,2024,Q1,2024-Q1,488885,294372,60.2,47620,26840,56.4,3.3,4.3,17,4
Climate Resilience,Mozambique,Southern Africa,2024,Q2,2024-Q2,226080,212649,94.1,29103,28097,96.5,4.0,4.7,10,14
Climate Resilience,Mozambique,Southern Africa,2024,Q3,2024-Q3,33061,23335,70.6,13722,5930,43.2,2.5,4.1,14,18
Climate Resilience,Mozambique,Southern Africa,2024,Q4,2024-Q4,490085,423732,86.5,48703,49420,101.5,4.0,4.5,6,14
Climate Resilience,Mozambique,Southern Africa,2025,Q1,2025-Q1,67280,55743,82.9,18389,11346,61.7,2.7,3.9,10,20
Climate Resilience,Mozambique,Southern Africa,2025,Q2,2025-Q2,495614,407260,82.2,48626,46189,95.0,3.3,4.4,25,5
Climate Resilience,Mozambique,Southern Africa,2025,Q3,2025-Q3,396635,340117,85.8,10096,10363,102.6,4.1,4.3,2,3
Climate Resilience,Mozambique,Southern Africa,2025,Q4,2025-Q4,390266,320553,82.1,31451,23092,73.4,2.5,4.4,20,11
Climate Resilience,Zimbabwe,Southern Africa,2021,Q1,2021-Q1,64725,48570,75.0,36328,22640,62.3,3.0,3.7,22,12
Climate Resilience,Zimbabwe,Southern Africa,2021,Q2,2021-Q2,401091,317113,79.1,35532,33053,93.0,3.2,4.0,19,5
Climate Resilience,Zimbabwe,Southern Africa,2021,Q3,2021-Q3,218536,145577,66.6,38067,42459,111.5,3.6,4.3,12,1
Climate Resilience,Zimbabwe,Southern Africa,2021,Q4,2021-Q4,422789,311270,73.6,13199,11614,88.0,3.3,4.2,10,18
Climate Resilience,Zimbabwe,Southern Africa,2022,Q1,2022-Q1,476814,381094,79.9,45222,27164,60.1,3.4,3.2,4,5
Climate Resilience,Zimbabwe,Southern Africa,2022,Q2,2022-Q2,475511,295249,62.1,11476,10821,94.3,3.1,3.1,5,1
Climate Resilience,Zimbabwe,Southern Africa,2022,Q3,2022-Q3,239981,153950,64.2,22189,14673,66.1,4.7,4.0,9,14
Climate Resilience,Zimbabwe,Southern Africa,2022,Q4,2022-Q4,171404,123793,72.2,43055,42274,98.2,3.8,3.8,5,3
Climate Resilience,Zimbabwe,Southern Africa,2023,Q1,2023-Q1,491094,405506,82.6,10622,6049,56.9,4.3,3.7,6,0
Climate Resilience,Zimbabwe,Southern Africa,2023,Q2,2023-Q2,346400,323298,93.3,18587,13241,71.2,3.6,4.4,0,14
Climate Resilience,Zimbabwe,Southern Africa,2023,Q3,2023-Q3,280900,180613,64.3,34679,31943,92.1,3.0,3.3,17,0
Climate Resilience,Zimbabwe,Southern Africa,2023,Q4,2023-Q4,338758,246113,72.7,34339,32773,95.4,4.9,3.5,7,6
Climate Resilience,Zimbabwe,Southern Africa,2024,Q1,2024-Q1,328733,257217,78.2,45219,37867,83.7,3.9,4.9,15,14
Climate Resilience,Zimbabwe,Southern Africa,2024,Q2,2024-Q2,235037,189603,80.7,30958,24532,79.2,4.5,4.1,2,19
Climate Resilience,Zimbabwe,Southern Africa,2024,Q3,2024-Q3,334626,206234,61.6,2430,2329,95.8,4.9,4.7,7,17
Climate Resilience,Zimbabwe,Southern Africa,2024,Q4,2024-Q4,165811,114632,69.1,42616,24888,58.4,3.1,3.4,20,17
Climate Resilience,Zimbabwe,Southern Africa,2025,Q1,2025-Q1,449979,436029,96.9,15607,14228,91.2,3.5,4.0,1,5
Climate Resilience,Zimbabwe,Southern Africa,2025,Q2,2025-Q2,97728,76788,78.6,5608,5210,92.9,3.1,4.0,20,11
Climate Resilience,Zimbabwe,Southern Africa,2025,Q3,2025-Q3,39252,24030,61.2,11527,8986,78.0,3.8,3.7,1,18
Climate Resilience,Zimbabwe,Southern Africa,2025,Q4,2025-Q4,459360,411729,89.6,41536,44848,108.0,4.5,4.5,9,10
Climate Resilience,Zambia,Southern Africa,2021,Q1,2021-Q1,65981,58660,88.9,5213,3958,75.9,3.7,3.7,3,13
Climate Resilience,Zambia,Southern Africa,2021,Q2,2021-Q2,113453,102331,90.2,12573,8609,68.5,3.3,3.3,21,9
Climate Resilience,Zambia,Southern Africa,2021,Q3,2021-Q3,340387,258563,76.0,45314,30438,67.2,2.7,4.0,22,19
Climate Resilience,Zambia,Southern Africa,2021,Q4,2021-Q4,320040,281912,88.1,38842,44603,114.8,3.8,4.7,5,14
Climate Resilience,Zambia,Southern Africa,2022,Q1,2022-Q1,412867,295437,71.6,39943,41060,102.8,4.5,3.6,11,1
Climate Resilience,Zambia,Southern Africa,2022,Q2,2022-Q2,68824,61010,88.6,21614,12239,56.6,2.8,3.6,10,11
Climate Resilience,Zambia,Southern Africa,2022,Q3,2022-Q3,490564,322734,65.8,26834,20525,76.5,4.3,4.9,2,13
Climate Resilience,Zambia,Southern Africa,2022,Q4,2022-Q4,462137,374843,81.1,38075,35999,94.5,3.9,3.9,2,9
Climate Resilience,Zambia,Southern Africa,2023,Q1,2023-Q1,266843,194890,73.0,10817,13131,121.4,5.0,4.9,3,8
Climate Resilience,Zambia,Southern Africa,2023,Q2,2023-Q2,192600,181980,94.5,36540,27909,76.4,4.7,3.9,13,16
Climate Resilience,Zambia,Southern Africa,2023,Q3,2023-Q3,130019,112203,86.3,47601,38790,81.5,4.9,3.8,6,19
Climate Resilience,Zambia,Southern Africa,2023,Q4,2023-Q4,50505,42446,84.0,9163,8975,97.9,4.3,4.9,18,20
Climate Resilience,Zambia,Southern Africa,2024,Q1,2024-Q1,297320,207483,69.8,7745,6747,87.1,3.2,4.6,15,19
Climate Resilience,Zambia,Southern Africa,2024,Q2,2024-Q2,433235,355637,82.1,48321,53202,110.1,4.2,3.6,9,13
Climate Resilience,Zambia,Southern Africa,2024,Q3,2024-Q3,339209,268826,79.3,22741,14630,64.3,3.0,4.9,8,16
Climate Resilience,Zambia,Southern Africa,2024,Q4,2024-Q4,321540,258706,80.5,42844,47343,110.5,4.3,3.8,11,4
Climate Resilience,Zambia,Southern Africa,2025,Q1,2025-Q1,342064,253829,74.2,38872,23573,60.6,3.9,4.1,15,16
Climate Resilience,Zambia,Southern Africa,2025,Q2,2025-Q2,402302,321383,79.9,43409,26088,60.1,2.8,4.0,15,15
Climate Resilience,Zambia,Southern Africa,2025,Q3,2025-Q3,443614,296175,66.8,13790,15112,109.6,3.5,4.8,19,7
Climate Resilience,Zambia,Southern Africa,2025,Q4,2025-Q4,391503,334802,85.5,21037,21285,101.2,4.4,3.7,6,0
Climate Resilience,Egypt,North Africa,2021,Q1,2021-Q1,81974,80662,98.4,3571,3205,89.8,2.9,3.5,14,20
Climate Resilience,Egypt,North Africa,2021,Q2,2021-Q2,437717,312639,71.4,9728,8689,89.3,3.2,4.7,23,6
Climate Resilience,Egypt,North Africa,2021,Q3,2021-Q3,439201,269122,61.3,42324,34781,82.2,3.0,3.5,13,13
Climate Resilience,Egypt,North Africa,2021,Q4,2021-Q4,43851,40306,91.9,23875,19030,79.7,3.9,3.0,11,17
Climate Resilience,Egypt,North Africa,2022,Q1,2022-Q1,442598,341565,77.2,43779,31072,71.0,4.2,4.4,6,0
